DateResult: Day,IdQueue,NameMailSender,Count
2025-09-02T00:00:00+03:00,4,production100-mail-sender-109,12477
2025-09-02T00:00:00+03:00,4,production100-mail-sender-107,12430
2025-09-02T00:00:00+03:00,4,production100-mail-sender-108,12417
2025-09-02T00:00:00+03:00,4,production100-mail-sender-105,12409
2025-09-02T00:00:00+03:00,4,production100-mail-sender-103,12401
2025-09-02T00:00:00+03:00,4,production100-mail-sender-1,12371
2025-09-02T00:00:00+03:00,4,production100-mail-sender-102,12361
2025-09-02T00:00:00+03:00,4,production100-mail-sender-106,12241
2025-09-02T00:00:00+03:00,3,production-mail-sender-aws-3,12170
2025-09-02T00:00:00+03:00,4,production100-mail-sender-110,11680
2025-09-02T00:00:00+03:00,4,production100-mail-sender-111,11583
2025-09-02T00:00:00+03:00,3,production-mail-sender-aws-23,10656
2025-09-02T00:00:00+03:00,2180,production100-mail-sender-113,9860
2025-09-02T00:00:00+03:00,4,production200-mail-sender-200,6398
2025-09-02T00:00:00+03:00,3,production-mail-sender-2,6167
2025-09-02T00:00:00+03:00,3,production-mail-sender-5,6159
2025-09-02T00:00:00+03:00,3,production-mail-sender-1,6098
2025-09-02T00:00:00+03:00,3,production100-mail-sender-104,5632
2025-09-02T00:00:00+03:00,3,production100-mail-sender-105,5576
2025-09-02T00:00:00+03:00,3,production100-mail-sender-109,5572
2025-09-02T00:00:00+03:00,3,production100-mail-sender-107,5555
2025-09-02T00:00:00+03:00,3,production100-mail-sender-1,5550
2025-09-02T00:00:00+03:00,3,production100-mail-sender-102,5534
2025-09-02T00:00:00+03:00,3,production100-mail-sender-103,5534
2025-09-02T00:00:00+03:00,3,production100-mail-sender-106,5479
2025-09-02T00:00:00+03:00,3,production100-mail-sender-112,5292
2025-09-02T00:00:00+03:00,3,production100-mail-sender-111,5195
2025-09-02T00:00:00+03:00,3,production200-mail-sender-200,5137
2025-09-02T00:00:00+03:00,1,production-mail-sender-4,3825
2025-09-02T00:00:00+03:00,1,production-mail-sender-2,3824
2025-09-02T00:00:00+03:00,1,production-mail-sender-1,3771
2025-09-02T00:00:00+03:00,1,production-mail-sender-aws,3684
2025-09-02T00:00:00+03:00,1,production-mail-sender-aws-2,3664
2025-09-02T00:00:00+03:00,1,production-mail-sender-5,3327
2025-09-02T00:00:00+03:00,1,production100-mail-sender-107,3086
2025-09-02T00:00:00+03:00,1,production100-mail-sender-101,3085
